Year,Sex,Control,race,rate
2015,Total,Private Nonprofit,Hispanic,63.0118534482759
2015,Total,Private Nonprofit,White,65.6655074296554
2016,Total,Private Nonprofit,Total,53.5575485799701
2016,Total,Private Nonprofit,Asian,84.27672955974843
2016,Total,Private Nonprofit,Black,41.5956439393939
2016,Total,Private Nonprofit,Hispanic,68.4905660377358
2016,Total,Private Nonprofit,White,57.6887913695374
2017,Total,Private Nonprofit,Total,51.8057187622405
2017,Total,Private Nonprofit,Asian,83.1223628691983
2017,Total,Private Nonprofit,Black,36.0928025309781
2017,Total,Private Nonprofit,Hispanic,60.9338521400778
2017,Total,Private Nonprofit,White,62.1886120996441
2018,Total,Private Nonprofit,Total,59.5648854961832
2018,Total,Private Nonprofit,Asian,84.4444444444445
2018,Total,Private Nonprofit,Black,52.9347349978099
2018,Total,Private Nonprofit,Hispanic,66.6666666666667
2018,Total,Private Nonprofit,White,63.7996407902614
2019,Total,Private Nonprofit,Total,56.2044914539741
2019,Total,Private Nonprofit,Asian,85.7142857142857
2019,Total,Private Nonprofit,Black,44.692618591789
2019,Total,Private Nonprofit,Hispanic,60.775473399459
2019,Total,Private Nonprofit,White,63.9060793593011
2000,Total,Private For-profit,Total,59.0768209954688
2000,Total,Private For-profit,Black,47.6123010250854
2000,Total,Private For-profit,Hispanic,60.3474924052657
2000,Total,Private For-profit,White,63.0904683343995
2005,Total,Private For-profit,Total,57.8367789554693
2005,Total,Private For-profit,Black,48.2238936308065
2005,Total,Private For-profit,Hispanic,61.491724282422
2005,Total,Private For-profit,White,62.8914671274582
2008,Total,Private For-profit,Total,61.7317707777032
2008,Total,Private For-profit,Asian,70.20748100526009
2008,Total,Private For-profit,Black,52.6413697195181
2008,Total,Private For-profit,Hispanic,67.9208620385091
2008,Total,Private For-profit,White,64.0984490550534
2009,Total,Private For-profit,Total,62.7374039859246
2009,Total,Private For-profit,Asian,71.61029199190517
2009,Total,Private For-profit,Black,52.943329788903
2009,Total,Private For-profit,Hispanic,68.4012604417492
2009,Total,Private For-profit,White,65.0894261578794
2010,Total,Private For-profit,Total,62.7619160822537
2010,Total,Private For-profit,Asian,73.3643189131212
2010,Total,Private For-profit,Black,53.2534136803641
2010,Total,Private For-profit,Hispanic,68.2639031397496
2010,Total,Private For-profit,White,65.7987400621716
2011,Total,Private For-profit,Total,58.4232106771935
2011,Total,Private For-profit,Asian,66.41188032321467
2011,Total,Private For-profit,Black,48.4266751282458
2011,Total,Private For-profit,Hispanic,62.2194485925067
2011,Total,Private For-profit,White,62.5084569346864
2012,Total,Private For-profit,Total,59.9967096759031
2012,Total,Private For-profit,Asian,71.42437591776799
2012,Total,Private For-profit,Black,48.9165924606708
2012,Total,Private For-profit,Hispanic,68.7222048230504
2012,Total,Private For-profit,White,63.0487973777757
2013,Total,Private For-profit,Total,59.8363639673092
2013,Total,Private For-profit,Asian,68.91432106402722
2013,Total,Private For-profit,Black,47.6360717933752
2013,Total,Private For-profit,Hispanic,66.2349894042854
2013,Total,Private For-profit,White,63.863535173642
2014,Total,Private For-profit,Total,60.9515555422731
2014,Total,Private For-profit,Asian,70.81861958266452
2014,Total,Private For-profit,Black,48.1610150290764
2014,Total,Private For-profit,Hispanic,69.2484662576687
2014,Total,Private For-profit,White,64.2381401193842
2015,Total,Private For-profit,Total,60.8116582147336
2015,Total,Private For-profit,Asian,68.31493038886222
2015,Total,Private For-profit,Black,51.0665191973455
2015,Total,Private For-profit,Hispanic,64.8821218074656
2015,Total,Private For-profit,White,65.0490027510316
2016,Total,Private For-profit,Total,60.306254475109
2016,Total,Private For-profit,Asian,72.31514084507043
2016,Total,Private For-profit,Black,47.9142932258347
2016,Total,Private For-profit,Hispanic,66.9802570557838
2016,Total,Private For-profit,White,64.5833333333333
2017,Total,Private For-profit,Total,61.0820354372911
2017,Total,Private For-profit,Asian,71.9982078853047
2017,Total,Private For-profit,Black,48.0198483288082
2017,Total,Private For-profit,Hispanic,68.427796523299
2017,Total,Private For-profit,White,64.2866558284635
2018,Total,Private For-profit,Total,59.5343357543664
2018,Total,Private For-profit,Asian,69.0498588899342
2018,Total,Private For-profit,Black,47.236132970859
2018,Total,Private For-profit,Hispanic,65.2394531577623
2018,Total,Private For-profit,White,63.8509854884124
2019,Total,Private For-profit,Total,55.2080964293837
2019,Total,Private For-profit,Asian,63.3651056775798
2019,Total,Private For-profit,Black,44.2661704053918
2019,Total,Private For-profit,Hispanic,60.5673485140872
2019,Total,Private For-profit,White,60.5352697095436
2000,Male,All,Total,28.7187997426085
2000,Male,All,Black,23.0987010103253
2000,Male,All,Hispanic,27.8526537581284
2000,Male,All,White,29.952971225282
2005,Male,All,Total,25.3950496051555
2005,Male,All,Black,18.6445190889726
2005,Male,All,Hispanic,21.8018211033744
2005,Male,All,White,27.161447501337
2008,Male,All,Total,27.363956184156
2008,Male,All,Asian,30.85144833995972
2008,Male,All,Black,22.741922927209
2008,Male,All,Hispanic,29.0860132328051
2008,Male,All,White,27.6896245727791
2009,Male,All,Total,27.220412710201
2009,Male,All,Asian,31.73097307610769
2009,Male,All,Black,22.0749860405573
2009,Male,All,Hispanic,30.0431890122861
2009,Male,All,White,27.8301660811242
2010,Male,All,Total,26.1777789870352
2010,Male,All,Asian,31.49453354792164
2010,Male,All,Black,19.4560431756853
2010,Male,All,Hispanic,27.699694222413
2010,Male,All,White,27.5349593636596
2011,Male,All,Total,25.2927971648574
2011,Male,All,Asian,29.87963181496342
2011,Male,All,Black,16.8308641046853
2011,Male,All,Hispanic,25.6530019322463
2011,Male,All,White,27.481895323387
2012,Male,All,Total,26.5934597422589
2012,Male,All,Asian,31.8138195777351
2012,Male,All,Black,18.8314846483315
2012,Male,All,Hispanic,24.9735404330787
2012,Male,All,White,29.2123326438414
2013,Male,All,Total,27.4763313932538
2013,Male,All,Asian,31.8655709554765
2013,Male,All,Black,19.0991173101543
2013,Male,All,Hispanic,25.2523242259688
2013,Male,All,White,30.5304880401766
2014,Male,All,Total,28.65611381697
2014,Male,All,Asian,32.9099944781889
2014,Male,All,Black,20.8270522769992
2014,Male,All,Hispanic,26.3150444482192
2014,Male,All,White,31.8887615370694
2015,Male,All,Total,29.6462525208109
2015,Male,All,Asian,35.17241379310344
2015,Male,All,Black,21.8905676623137
2015,Male,All,Hispanic,26.6421857055763
2015,Male,All,White,33.0628483518701
2016,Male,All,Total,30.965457302415
2016,Male,All,Asian,36.50911797543729
2016,Male,All,Black,22.6412745830222
2016,Male,All,Hispanic,27.6896864437055
2016,Male,All,White,34.9608341613865
2017,Male,All,Total,31.8570907533975
2017,Male,All,Asian,38.2094376212023
2017,Male,All,Black,22.889973777901
2017,Male,All,Hispanic,28.5823420277202
2017,Male,All,White,35.9355671854822
2018,Male,All,Total,32.6232668879357
2018,Male,All,Asian,39.5862833220464
2018,Male,All,Black,24.1163921085623
2018,Male,All,Hispanic,28.3850070645944
2018,Male,All,White,37.132841774447
2019,Male,All,Total,32.3161693626345
2019,Male,All,Asian,40.1592931367059
2019,Male,All,Black,23.0279723481207
2019,Male,All,Hispanic,27.6456667732651
2019,Male,All,White,37.2586359610275
2000,Male,Public,Total,22.2200174452974
2000,Male,Public,Black,16.4950329318438
2000,Male,Public,Hispanic,15.4434407719154
2000,Male,Public,White,24.1850035876584
2005,Male,Public,Total,19.9452385461572
2005,Male,Public,Black,12.016697104096
2005,Male,Public,Hispanic,14.6442005461947
2005,Male,Public,White,22.1507075790502
2008,Male,Public,Total,19.6467879537856
2008,Male,Public,Asian,25.12439302200108
2008,Male,Public,Black,11.9592479968038
2008,Male,Public,Hispanic,14.8870007007708
2008,Male,Public,White,22.11600069157
2009,Male,Public,Total,19.3325363407461
2009,Male,Public,Asian,25.36744011507912
2009,Male,Public,Black,11.4080748045655
2009,Male,Public,Hispanic,14.82261208577
2009,Male,Public,White,22.0260939866742
2010,Male,Public,Total,18.9865757042253
2010,Male,Public,Asian,25.44045102184637
2010,Male,Public,Black,10.7233023127246
2010,Male,Public,Hispanic,15.1122185442508
2010,Male,Public,White,21.9185650081375
2011,Male,Public,Total,19.4846992457935
2011,Male,Public,Asian,25.37263551901611
2011,Male,Public,Black,9.76749444172288
2011,Male,Public,Hispanic,16.3553304885174
2011,Male,Public,White,23.0300420655162
2012,Male,Public,Total,21.3642522526902
