"year","sex","institution_level","num","percent"
1989,"Total","Total",59.6002150101403,1.57864774602545
1990,"Female","2-year",20.6221573201189,1.86864878827641
1990,"Male","2-year",19.6499383141824,1.84761850477109
1990,"Total","2-year",20.1393246666142,1.31414656558859
1990,"Female","4-year",41.5960982470544,2.2764505379367
1990,"Male","4-year",38.3664470077476,2.26111678376937
1990,"Total","4-year",39.9921581180838,1.60526334136842
1990,"Female","Total",62.2183396856828,2.23929194744755
1990,"Male","Total",58.0163853219301,2.2948475893359
1990,"Total","Total",60.1314996661273,1.60442987147428
1991,"Female","2-year",26.802552389367,2.09240508230945
1991,"Male","2-year",22.9181384107884,1.98275843131472
1991,"Total","2-year",24.8576367346437,1.44266007885397
1991,"Female","4-year",40.3342464933687,2.31744405928486
1991,"Male","4-year",34.9837343936619,2.24982186409246
1991,"Total","4-year",37.6552594438693,1.61735145638662
1991,"Female","Total",67.1367988827356,2.21893697999389
1991,"Male","Total",57.9018728044503,2.32906566169179
1991,"Total","Total",62.5129401177925,1.61591057608685
1992,"Female","2-year",23.8535032656592,1.97545735875493
1992,"Male","2-year",22.1127110269223,1.89494514201498
1992,"Total","2-year",22.9700324664622,1.36828209406661
1992,"Female","4-year",39.9885454112596,2.27065676391429
1992,"Male","4-year",37.8434351655905,2.21452777138483
1992,"Total","4-year",38.8998788714306,1.58584282573921
1992,"Female","Total",63.8420486769187,2.22700876173384
1992,"Male","Total",59.9561461925128,2.23731503573434
1992,"Total","Total",61.8699113378928,1.57993287563584
1993,"Female","2-year",22.8069070444655,1.9109953780231
1993,"Male","2-year",22.8573750667603,1.99838433478361
1993,"Total","2-year",22.8310330723534,1.3811394405715
1993,"Female","4-year",42.3845008670615,2.25066273402609
1993,"Male","4-year",37.0031384022906,2.29772140553688
1993,"Total","4-year",39.81196295104,1.61070233433866
1993,"Female","Total",65.191407911527,2.16957979756999
1993,"Male","Total",59.8605134690509,2.33278523712555
1993,"Total","Total",62.6429960233934,1.59175301897576
1994,"Female","2-year",19.100507615808,1.75432902852209
1994,"Male","2-year",23.0355542516809,1.90095732368558
1994,"Total","2-year",21.0453244308923,1.29377605404656
1994,"Female","4-year",44.1350856537861,2.21603824968891
1994,"Male","4-year",37.5380880999554,2.18610829568603
1994,"Total","4-year",40.8746537049499,1.56029336361409
1994,"Female","Total",63.2356718114179,2.15184052545709
1994,"Male","Total",60.5737227274737,2.20629194536103
1994,"Total","Total",61.9200424571605,1.54119043925113
1995,"Female","2-year",18.1184239036626,1.54653730936908
1995,"Male","2-year",25.2522355636593,1.82948427055048
1995,"Total","2-year",21.5156719357857,1.19412941661791
1995,"Female","4-year",43.1784878788658,1.98882790403042
1995,"Male","4-year",37.3598657651974,2.03708266560798
1995,"Total","4-year",40.4075565076082,1.4259666191544
1995,"Female","Total",61.2969852328191,1.9556856632426
1995,"Male","Total",62.6121013288567,2.03739074013041
1995,"Total","Total",61.9233530335545,1.41103964507861
1996,"Female","2-year",24.5979496754533,1.7944172717405
1996,"Male","2-year",21.5377771678669,1.75549016177807
1996,"Total","2-year",23.1055015981672,1.2570416049008
1996,"Female","4-year",45.1220389338547,2.07336493960788
1996,"Male","4-year",38.5308532233232,2.07826326882547
1996,"Total","4-year",41.9075134728451,1.47146605171398
1996,"Female","Total",69.7199886093081,1.91442818558461
1996,"Male","Total",60.0685532957159,2.09145615772985
1996,"Total","Total",65.0130019160718,1.42232174377958
1997,"Female","2-year",24.0930795263343,1.74842848448294
1997,"Male","2-year",21.3599942090817,1.71313361026955
1997,"Total","2-year",22.7567638821424,1.22541252696869
1997,"Female","4-year",46.2303131035389,2.03841779040441
1997,"Male","4-year",42.194890991872,2.06434342722177
1997,"Total","4-year",44.2572324738573,1.45172121532782
1997,"Female","Total",70.3233926298733,1.86774706423715
1997,"Male","Total",63.5548852009537,2.01169915054691
1997,"Total","Total",67.0139963559997,1.37418259614282
1998,"Female","2-year",24.3344402979303,1.79101983283081
1998,"Male","2-year",24.412852567414,1.73390612973895
1998,"Total","2-year",24.3749592916045,1.24576009025104
1998,"Female","4-year",44.7858874166186,2.07556448054884
1998,"Male","4-year",37.9707958811172,1.95891365837393
1998,"Total","4-year",41.2642363710071,1.42845929461055
1998,"Female","Total",69.120327714549,1.9283231953811
1998,"Male","Total",62.3836484485312,1.95531197621919
1998,"Total","Total",65.6392312546514,1.377979739344
1999,"Female","2-year",21.1128008073062,1.66389665070679
1999,"Male","2-year",20.9677780560153,1.63097557180132
1999,"Total","2-year",21.0390238092361,1.16474437537573
1999,"Female","4-year",43.304797456648,2.02018580524424
1999,"Male","4-year",40.4693120949862,1.96653878650048
1999,"Total","4-year",41.8623093215585,1.40978230298171
1999,"Female","Total",64.4175982639543,1.95195610639325
1999,"Male","Total",61.4370901510016,1.95015608484616
1999,"Total","Total",62.9012768913258,1.38045009760149
2000,"Female","2-year",19.9727815754657,1.58504964550663
2000,"Male","2-year",23.074598442458,1.83213844802062
2000,"Total","2-year",21.3807118388202,1.2011976003277
2000,"Female","4-year",46.1970956824641,1.97658242097398
2000,"Male","4-year",36.8399214273551,2.09766921730861
2000,"Total","4-year",41.9498272658654,1.44579150538574
2000,"Female","Total",66.1699437091616,1.87579975536123
2000,"Male","Total",59.9145198698131,2.13115929843812
2000,"Total","Total",63.3305983752099,1.4118794212089
2001,"Female","2-year",20.6327602993282,1.65595286447998
2001,"Male","2-year",18.6134625219184,1.59002642662074
2001,"Total","2-year",19.621404555289,1.14815762256401
2001,"Female","4-year",42.8240044067853,2.02487944380433
2001,"Male","4-year",41.4492052192314,2.0125142902135
2001,"Total","4-year",42.1354427341148,1.42756653588286
2001,"Female","Total",63.4567647061135,1.97056664047958
2001,"Male","Total",60.0626677411498,2.00081210598302
2001,"Total","Total",61.7568865131502,1.40502993874655
2002,"Female","2-year",22.8382679996562,1.64696570274958
2002,"Male","2-year",20.4215875012572,1.56617113650273
2002,"Total","2-year",21.6180889750818,1.13635901897753
2002,"Female","4-year",45.5752688599212,1.95395588779848
2002,"Male","4-year",41.7135907820497,1.91566369738789
2002,"Total","4-year",43.6255123267762,1.36902242939087
2002,"Female","Total",68.4134646290928,1.82378557980467
2002,"Male","Total",62.1352491121603,1.88444473072396
2002,"Total","Total",65.2436246338925,1.31457493289666
2003,"Female","2-year",21.0152760840392,1.60572914351904
2003,"Male","2-year",21.9107539656096,1.67117299256092
2003,"Total","2-year",21.4519281442314,1.15806913133294
2003,"Female","4-year",45.5049738206538,1.96264184829543
2003,"Male","4-year",39.2552643088629,1.97287881278488
2003,"Total","4-year",42.457568277509,1.39445729379341
2003,"Female","Total",66.520249904693,1.85994982013985
2003,"Male","Total",61.1659416776391,1.96905730258982
2003,"Total","Total",63.909459072338,1.35491740257055
2004,"Female","2-year",23.0715479392661,1.62895989072472
2004,"Male","2-year",21.7714685835442,1.6539603761145
2004,"Total","2-year",22.4448113553766,1.16097416446826
2004,"Female","4-year",48.4733745578329,1.93239544519373
2004,"Male","4-year",39.638482567434,1.96036632894745
2004,"Total","4-year",44.2142490151179,1.38198049859419
2004,"Female","Total",71.5448523396798,1.74460914611395
2004,"Male","Total",61.4099511509782,1.95099290415008
2004,"Total","Total",66.6590603704944,1.31183029946038
2005,"Female","2-year",23.4021646163957,1.64388692015444
2005,"Male","2-year",24.6747142280769,1.77186353540452
2005,"Total","2-year",24.0023026875279,1.20543984877357
2005,"Female","4-year",47.0215832020448,1.93791082296758
2005,"Male","4-year",41.8075544771926,2.02719019644475
2005,"Total","4-year",44.5626856214733,1.40283193128239
2005,"Female","Total",70.4237478184405,1.77201263276493
2005,"Male","Total",66.4822687052695,1.94009963479192
2005,"Total","Total",68.564962678533,1.31031859454838
2006,"Female","2-year",24.4520781669527,1.69937049988821
2006,"Male","2-year",24.9495779026439,1.73317913044338
2006,"Total","2-year",24.6976113476938,1.21346093659794
2006,"Female","4-year",41.6733631361315,1.94931340345346
2006,"Male","4-year",40.8842954046345,1.96908731308165
2006,"Total","4-year",41.2839311504734,1.3853609952482
2006,"Female","Total",66.1253811485657,1.87128626027828
2006,"Male","Total",65.8338695432133,1.89958122631028
2006,"Total","Total",65.9815101742713,1.33309957093243
2007,"Female","2-year",25.4699537641554,1.67367395768747
2007,"Male","2-year",22.7139292048195,1.57338278829689
2007,"Total","2-year",24.0606819822095,1.14783852254549
2007,"Female","4-year",42.8365961912657,1.90089269912636
2007,"Male","4-year",43.4026485303576,1.8612033135351
2007,"Total","4-year",43.1260426644056,1.32990313951354
2007,"Female","Total",68.306559649951,1.78733921214133
2007,"Male","Total",66.1165883231258,1.77740513608349
2007,"Total","Total",67.1867347979878,1.26083999097409
2008,"Female","2-year",30.6386042242844,1.73142133039523
2008,"Male","2-year",24.9120420174947,1.55893682295212
2008,"Total","2-year",27.6575692447122,1.16326537712471
2008,"Female","4-year",40.9281278900167,1.84676089807661
2008,"Male","4-year",40.9541348185093,1.77248401719412
2008,"Total","4-year",40.9416661282734,1.27878814311544
2008,"Female","Total",71.5667347621627,1.69425327140593
2008,"Male","Total",65.8662231708316,1.70907947133237
2008,"Total","Total",68.5992604452836,1.20699342565193
2009,"Female","2-year",30.0680335532582,1.71101851192681
2009,"Male","2-year",25.0876648813978,1.68742685143569
2009,"Total","2-year",27.6830250022783,1.20520046457546
2009,"Female","4-year",43.7513820372093,1.85104143828009
2009,"Male","4-year",40.9159776162778,1.91381371025714
2009,"Total","4-year",42.3935581018817,1.33112197246095
2009,"Female","Total",73.8193737761345,1.64036131421861
2009,"Male","Total",66.0036382318398,1.8438191741861
2009,"Total","Total",70.0765589306517,1.2334585031014
2010,"Female","2-year",24.5522087849974,2.31973
2010,"Male","2-year",28.5151131395208,2.03183
2010,"Total","2-year",26.6570767854287,1.51575
2010,"Female","4-year",49.4931823153589,2.58556
2010,"Male","4-year",34.3144292571866,1.96611
2010,"Total","4-year",41.4310973543309,1.61366
2010,"Female","Total",74.0453910328697,2.31167
2010,"Male","Total",62.8295421584167,1.88388
2010,"Total","Total",68.0881742979676,1.48526
2011,"Female","2-year",27.2556365533218,2.17389
2011,"Male","2-year",24.6710262414373,1.79058
2011,"Total","2-year",25.9036338634027,1.48811
2011,"Female","4-year",44.9013255753746,2.37369
2011,"Male","4-year",39.9847704655403,2.10314
2011,"Total","4-year",42.329488845069,1.43988
2011,"Female","Total",72.1569621286964,1.97835
2011,"Male","Total",64.6557966448879,2.16265
2011,"Total","Total",68.2331226981542,1.45271
2012,"Female","2-year",30.6569395966231,2.0898
2012,"Male","2-year",26.8933094506081,2.19937
2012,"Total","2-year",28.7506633149588,1.57377
2012,"Female","4-year",40.648296462897,2.20871
2012,"Male","4-year",34.3642296415631,2.14774
2012,"Total","4-year",37.4654206039111,1.59695
2012,"Female","Total",71.305235743179,2.10885
2012,"Male","Total",61.2575390921712,2.16708
